ID,Title,Bechdel Pass
tt3525168,Dead in a Week: Or Your Money Back,False
tt5463162,Deadpool 2,False
tt4042818,The Death and Life of John F. Donovan,False
tt6975598,Deep Murder,True
tt1259528,Den of thieves,False
tt8900098,Deslembro,True
tt6987770,Destination Wedding,False
tt7137380,Destroyer,True
tt7365604,Dog Days,True
tt6842126,Don't Leave Home,True
tt3458510,Dude,True
tt4878482,Dumplin',True
tt4701724,Early Man,False
tt7014006,Eighth Grade,True
tt7555774,En guerre,False
tt7534068,En liberte!,False
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,False
tt5083738,The Favourite,True
tt4477536,fifty shade freed,False
tt1213641,First Man,True
tt6061074,First Match,True
tt6133466,The First Purge,True
tt7636672,Float Like A Butterfly,True
tt7775622,Free Solo,False
tt7074886,The Front Runner,False
tt2704998,Game Night,True
tt8287690,Genese,False
tt5177088,The Girl in the Spider's Web,True
tt6966692,Green Book,False
tt2639336,Greta,True
tt1289403,The Guernsey Literary and Potato Peel Pie Society,True
tt1502407,Halloween,True
tt1308728,The Happytime Murders,True
tt5580266,The Hate U Give,True
tt7158430,Hearts Beat Loud,True
tt7875464,The Heiresses,True
tt7784604,Hereditary,True
tt5057140,Hold the Dark,False
tt7237666,The Honor List,True
tt2119543,The House with a Clock in Its Walls,False
tt6791096,I Feel Pretty,True
tt7134690,I Like Me,True
tt7125860,If Beale Street Could Talk,True
tt7464188,In Fabric,True
tt3606756,Incredibles 2,True
tt7401588,Instant Family,True
tt5104604,Isle of Dogs,True
tt8457260,It's a Beautiful Day,False
tt7689958,Jane Fonda in Five Acts,True
tt7527538,Jefe,False
tt6921996,Johnny English Strikes Again,False
tt5639446,Jonathan,False
tt4881806,Jurassic World: Fallen Kingdom,True
tt6929642,Kaala,True
tt3799232,The Kissing Booth,True
tt6169920,L'animale,True
tt7231342,La chute de l'empire americain,False
tt6892462,Le monde est a toi,False
tt3892172,Leave No Trace,True
tt8633950,Les invisibles,True
tt5619332,Life of the Party,True
tt4669296,Lords of Chaos,False
tt7853242,Love per square foot,True
tt5164432,"Love, Simon",False
tt6911608,Mamma Mia! Here We Go Again,True
tt1318517,The Man Who Killed Don Quixote,False
tt6998518,Mandy,False
tt5028340,Mary Poppins Returns,True
tt2328900,Mary Queen of Scots,True
tt4500922,Maze Runner: The Death Cure,True
tt6510332,McQueen,False
tt4779682,The Meg,True
tt5613484,Mid90s,False
tt5427194,The Miracle Season,True
tt6257174,The Miseducation of Cameron Post,True
tt4912910,Mission Impossible: Fallout,False
tt1571234,Mortal Engines,True
tt7959026,The Mule,False
tt7745068,My hero academia: Two heroes,True
tt7869818,My Little Pony Equestria Girls: Forgotten Friendship,True
tt8717590,My Little Pony Equestria Girls: Rollercoaster of Friendship,True
tt0365545,Nappily Ever Aftet,True
tt6781982,NIght School,True
tt5523010,The Nutcracker and the Four Realms,True
tt5164214,Ocean's 8,True
tt2837574,The Old Man & the Gun,False
tt4669788,On the Basis of Sex,True
tt1563742,Overboard,True
tt2557478,Pacific Rim: Uprising,True
tt7768846,Pass Over,False
tt3458254,Patient Zero,False
tt4652650,Please Stand By,True
tt3829266,The Predator,False
tt6485304,Quien te cantara,False
tt7098658,Raazi,True
tt8286894,Rafiki,True
tt5848272,Ralph Breaks the Internet,True
tt2231461,Rampage,True
tt1677720,Ready Player One,True
tt2873282,Red Sparrow,True
tt4532826,Robin Hood,False
tt6155172,Roma,True
tt7250378,Say My Name,True
tt7668870,Searching,False
tt2126357,Second Act,False
tt5304992,Set It Up,True
tt5314190,Sgt. Stubby: An American Hero,False
tt8459250,Sheherazade,True
tt8075192,Shoplifters,True
tt3120280,Sierra Burgess Is a Loser,True
tt7212726,Simmba,False
tt4971344,The Sisters Brothers,False
tt7545566,Skate Kitchen,True
tt5690360,Slender Man,True
tt6182908,Smallfoot,True
tt3778644,Solo: A Star Wars Story,False
tt5688932,Sorry to Bother You,False
tt4633694,Spider-Man : Into the Spider-Verse,False
tt6663582,The Spy Who Dumped Me,True
tt3385524,Stan & Ollie,True
tt6859352,Support the Girls,True
tt1034415,Suspiria,True
tt4867110,Swiped,False
tt2854926,Tag,True
tt7424200,Teen Titans Go! To the Movies,True
tt7905466,They Shall Not Grow Old,False
tt4986098,The Titan,False
tt8327492,Tito e os Passaros,False
tt3846674,To All the Boys I've Loved Before,True
tt1365519,Tomb Raider,True
tt6772950,Truth or Dare,True
tt5610554,Tully,True
tt1270797,Venom,False
tt6266538,Vice,False
tt5960374,Vox Lux,True
tt3289724,Welcome to Marwen,False
tt5783956,When We First Met,False
tt4218572,Widows,True
tt6628102,The Wild Pear Tree,False
tt5117428,Wild Rose,True
tt5085924,Wildling,True
tt7279188,Woman at War,True
tt7335184,You,True
tt6878820,Z-O-M-B-I-E-S,True
tt6214928,1922,False
tt2932536,47 Meters Down,True
tt4703048,6 days,False
tt6359956,A Bad Moms Christmas,True
tt7608418,A Christmas Prince,True
tt1753383,A Dog's Purpose,False
tt6265828,A Ghost Story,False
tt6776462,A man of integrity,True
tt6539420,A Man Wanted (Hatooly Ragel),False
tt5540622,Alexander IRL,False
tt2316204,Alien: Covenant,True
tt1666185,All Eyez On Me,False
tt5294550,All the Money in the World,False
tt1961175,American Assassin,True
tt3532216,American Made,False
tt1935897,Amityville: The Awakening,True
tt5140878,Annabelle: Creation,True
tt4729896,Apostasy,True
tt2406566,Atomic Blonde,True
tt6194530,Ava,True
tt3890160,Baby Driver,False
tt4225622,The Babysitter,True
tt5816374,Band Aid,True
tt6142314,Batman vs. Two-Face,True
tt4622512,Battle of the Sexes,True
tt1469304,Baywatch,False
tt6303866,Beach Rats,True
tt5929750,Beatriz at Dinner,True
tt2771200,Beauty and the Beast,True
tt1691916,Before I Fall,True
tt5592248,The Beguiled,True
tt3335606,Berlin Syndrome,False
tt5462602,The Big Sick,True
tt1856101,Blade Runner 2049,True
tt5142400,The Book of Birdie,True
tt5727282,Borg vs McEnroe,False
tt3874544,The Boss Baby,False
tt3901826,The Breadwinner,True
tt6095090,The Bride,True
tt5519340,Bright,True
tt5826432,Burning Sands,False
tt4720702,Bushwick,True
tt4030600,The Bye Bye Man,True
tt5726616,Call Me by Your Name,True
tt4082644,Canaries,True
tt2091256,Captain Underpants: The First Epic Movie,False
tt3606752,Cars 3,True
tt4807950,Cherry Pop,False
tt4287320,The Circle,True
tt2380307,Coco,True
tt5740806,The Coin Heist,True
tt1034385,Cold Skin,False
tt3654796,Creep 2,False
tt5657846,Daddy's Home 2,True
tt5834660,Dance Academy: The Movie,True
tt1648190,The Dark Tower,False
tt4555426,Darkest Hour,False
