Name,Gender
Brandi Carlile,0
Ron Rifkin,2
Barry Shabaka Henley,2
Michael D. Roberts,2
Michael Harney,2
Rebecca Field,0
Willam Belli,2
Greg Grunberg,2
"D.J. ""Shangela"" Pierce",2
Eddie Griffin,2
Drena De Niro,1
Jacob Schick,2
Gabe Fazio,0
Luenell,1
Lukas Nelson,0
Anthony LoGerfo,0
Corey McCormick,0
Logan Metz,0
Tato Melgar,0
Don Roy King,2
Halsey,1
Christian Bale,2
Amy Adams,1
Steve Carell,2
Sam Rockwell,2
Tyler Perry,2
Alison Pill,1
Jesse Plemons,2
Alex MacNicoll,2
Aidan Gail,0
Cailee Spaeny,1
Colyse Harger,1
Lily Rabe,1
Violet Hicks,1
Justin Kirk,2
Don McManus,2
LisaGay Hamilton,1
Stephen Adly Guirgis,0
Matthew Jacobs,0
Shea Whigham,2
Eddie Marsan,2
Stefania LaVie Owen,1
Adam Bartley,2
Kirk Bovill,2
Jillian Armenante,1
Bill Camp,2
Fay Masterson,1
Alfred Molina,2
Naomi Watts,1
Joseph Beck,0
Paul Perri,2
Brandon Sklenar,0
Vanessa Cloke,1
Brandon Firla,2
Abigail Marlowe,1
Jeff Bosley,0
Melody Hollis,1
Pilar Holland,1
Matt Miller,2
Robert L. Hughes,0
Mark Bramhall,2
Tiffany Smith,1
Brandon Bales,2
Sam Massaro,0
Paul Yoo,0
Kevin Flood,2
Mike Pence,2
Hillary Clinton,1
Jimmy Carter,2
Henry Kissinger,2
Barack Obama,2
Gordon Brown,2
Sally Hawkins,1
Doug Jones,2
Michael Shannon,2
Richard Jenkins,2
Octavia Spencer,1
Michael Stuhlbarg,2
David Hewlett,2
Nick Searcy,2
Stewart Arnott,2
Nigel Bennett,2
Lauren Lee Smith,1
Martin Roach,2
Allegra Fulton,1
John Kapelos,2
Morgan Kelly,2
Wendy Lyon,1
Madison Ferguson,1
Jayden Greig,0
Deney Forrest,0
Brandon McKnight,2
Dru Viergever,2
Marvin Kaye,2
Jim Pagiamtzis,2
Cameron Laurie,0
Alexey Pankratov,0
Shane Clinton Jarvis,0
Evgeny Akimov,0
Dave Reachill,0
Matthew Mease,0
Amanda Smith,1
Maxine Grossman,1
Edward Tracz,0
Shaila D'Onofrio,0
Vanessa Oude-Reimerink,0
Sergey Nikonov,2
Jonelle Gunderson,0
Cylde Whitham,0
Dan Lett,0
Danny Waugh,2
Karen Glave,1
